[21:47:34] [INFO] received Windows console close event; shutting log-core down
[21:51:40] [INFO] received Windows console close event; shutting log-core down
[22:00:01] [INFO] received Windows console close event; shutting log-core down
[22:04:14] [INFO] received Windows console close event; shutting log-core down
[22:07:53] [INFO] received Windows console close event; shutting log-core down
[22:09:55] [INFO] received Windows console close event; shutting log-core down
[22:11:33] [INFO] received Windows console close event; shutting log-core down
[22:12:55] [INFO] received Windows console close event; shutting log-core down
[22:15:16] [INFO] received Windows console close event; shutting log-core down
[22:16:16] [INFO] received Windows console close event; shutting log-core down
[22:23:22] [INFO] received Windows console close event; shutting log-core down
[22:28:19] [INFO] received Windows console close event; shutting log-core down
[22:29:15] [INFO] received Windows console close event; shutting log-core down
[22:32:32] [INFO] received Windows console close event; shutting log-core down
[22:33:44] [INFO] received Windows console close event; shutting log-core down
[22:42:06] [INFO] received Windows console close event; shutting log-core down
[22:45:42] [INFO] received Windows console close event; shutting log-core down
[22:47:27] [INFO] received Windows console close event; shutting log-core down
[22:54:05] [INFO] received Windows console close event; shutting log-core down
[22:57:35] [INFO] received Windows console close event; shutting log-core down
[23:00:01] [INFO] received Windows console close event; shutting log-core down
[23:05:09] [INFO] received Windows console close event; shutting log-core down
[23:07:06] [INFO] received Windows console close event; shutting log-core down
[23:08:24] [INFO] received Windows console close event; shutting log-core down
[23:15:47] [INFO] received Windows console close event; shutting log-core down
[23:18:34] [INFO] received Windows console close event; shutting log-core down
[23:33:32] [INFO] received Windows console close event; shutting log-core down
[23:41:55] [INFO] received Windows console close event; shutting log-core down
[23:52:20] [INFO] received Windows console close event; shutting log-core down
[00:03:40] [INFO] received Windows console close event; shutting log-core down
[00:17:08] [INFO] received Windows console close event; shutting log-core down
[00:21:59] [INFO] received Windows console close event; shutting log-core down
[00:25:11] [INFO] received Windows console close event; shutting log-core down
[00:47:48] [INFO] received Windows console close event; shutting log-core down
[00:51:31] [INFO] received Windows console close event; shutting log-core down
[00:54:11] [INFO] received Windows console close event; shutting log-core down
[00:57:35] [INFO] received Windows console close event; shutting log-core down
[00:59:37] [INFO] received Windows console close event; shutting log-core down
[01:02:58] [INFO] received Windows console close event; shutting log-core down
[01:05:42] [INFO] received Windows console close event; shutting log-core down
[01:07:47] [INFO] received Windows console close event; shutting log-core down
[01:20:48] [INFO] received Windows console close event; shutting log-core down
[01:27:33] [INFO] received Windows console close event; shutting log-core down
[01:34:49] [INFO] received Windows console close event; shutting log-core down
[01:40:28] [INFO] received Windows console close event; shutting log-core down
[01:41:30] [INFO] received Windows console close event; shutting log-core down
[01:45:38] [INFO] received Windows console close event; shutting log-core down
[01:47:39] [INFO] received Windows console close event; shutting log-core down
[01:48:15] [INFO] received Windows console close event; shutting log-core down
[02:00:43] [INFO] received Windows console close event; shutting log-core down
[02:09:38] [INFO] received Windows console close event; shutting log-core down
[02:12:16] [INFO] received Windows console close event; shutting log-core down
[02:22:24] [INFO] received Windows console close event; shutting log-core down
[02:43:50] [INFO] received Windows console close event; shutting log-core down
[02:49:43] [INFO] received Windows console close event; shutting log-core down
[02:55:54] [INFO] received Windows console close event; shutting log-core down
[03:27:02] [INFO] received Windows console close event; shutting log-core down
[03:29:25] [INFO] received Windows console close event; shutting log-core down
[03:30:55] [INFO] received Windows console close event; shutting log-core down
[03:43:03] [INFO] received Windows console close event; shutting log-core down
[03:49:30] [INFO] received Windows console close event; shutting log-core down
[03:54:06] [INFO] received Windows console close event; shutting log-core down
[04:03:26] [INFO] received Windows console close event; shutting log-core down
[18:58:02] [INFO] received Windows console close event; shutting log-core down
[19:04:40] [INFO] received Windows console close event; shutting log-core down
[19:15:35] [INFO] received Windows console close event; shutting log-core down
[20:40:04] [INFO] received Windows console close event; shutting log-core down
[20:52:28] [INFO] received Windows console close event; shutting log-core down
[23:57:00] [INFO] received Windows console close event; shutting log-core down
[00:06:29] [INFO] received Windows console close event; shutting log-core down
[00:42:56] [INFO] received Windows console close event; shutting log-core down
[01:49:05] [INFO] received Windows console close event; shutting log-core down
[01:53:14] [INFO] received Windows console close event; shutting log-core down
[02:40:17] [INFO] received Windows console close event; shutting log-core down
[02:41:21] [INFO] received Windows console close event; shutting log-core down
[02:50:40] [INFO] received Windows console close event; shutting log-core down
[03:14:26] [INFO] received Windows console close event; shutting log-core down
[04:06:44] [INFO] received Windows console close event; shutting log-core down
